ticker,stage,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,exit_reason,hold_days,sector
402340,B,2024-03-22,77000.0,2024-04-09,73540.0,170,-640133.8100000005,-0.048846333210314674,STOP_LOSS,18,기타금융
138040,B,2024-02-13,72700.0,2024-04-15,76800.0,179,678380.4649999999,0.05206989953300608,MAX_HOLD,62,기타금융
161390,B,2024-02-14,52000.0,2024-04-15,59700.0,251,1873485.335000001,0.14337521465699068,MAX_HOLD,61,화학
000660,B,2024-04-03,182000.0,2024-04-17,177800.0,70,-345366.69999999925,-0.027077706791036403,STOP_LOSS,14,전기·전자
079550,B,2024-03-04,144700.0,2024-05-03,177700.0,90,2907844.200000001,0.2230287967731374,MAX_HOLD,60,금속
126560,B,2024-05-02,4635.0,2024-05-10,3775.25,2885,-2527886.7301875,-0.18882648223151788,STOP_LOSS,8,통신
002240,B,2024-05-03,23801.0,2024-05-21,21678.2,561,-1242122.35224,-0.09291956324089738,STOP_LOSS,18,금속
104700,B,2024-04-01,9480.0,2024-05-31,10100.0,1372,794803.716,0.06103771801668588,MAX_HOLD,60,금속
064350,B,2024-04-02,38400.0,2024-06-03,36250.0,336,-773168.7599999998,-0.05985558014533285,MAX_HOLD,62,운송장비·부품
103140,B,2024-04-05,53200.0,2024-06-04,61000.0,243,1836805.4100000001,0.14192081362072714,MAX_HOLD,60,금속
03473K,B,2024-06-04,198100.0,2024-06-05,164000.0,65,-2262754.9749999996,-0.17552563164173415,SOFT_STOP,1,기타금융
073240,B,2024-05-03,7890.0,2024-06-27,6393.75,1695,-2583493.680937499,-0.192957447794352,STOP_LOSS,55,화학
105560,B,2024-04-29,74100.0,2024-06-28,79300.0,178,868791.3000000007,0.0657927593793454,MAX_HOLD,60,기타금융
026890,B,2024-06-04,11070.0,2024-06-28,9360.0,1179,-2063653.807500001,-0.15793422929484757,STOP_LOSS,24,기타금융
004490,B,2024-05-02,103000.0,2024-07-01,103500.0,129,9833.025000000373,0.0007391984654540763,MAX_HOLD,60,전기·전자
090430,B,2024-05-02,172400.0,2024-07-01,169700.0,77,-261713.375,-0.019692405937348383,MAX_HOLD,60,화학
035150,B,2024-05-02,13750.0,2024-07-01,15150.0,972,1301989.1400000006,0.09730591637798354,MAX_HOLD,60,화학
005385,B,2024-05-02,158000.0,2024-07-01,182100.0,84,1964012.8200000003,0.14781169376735745,MAX_HOLD,60,운송장비·부품
012690,B,2024-05-02,3730.0,2024-07-01,3340.0,3585,-1448850.8625000007,-0.10822473726260383,MAX_HOLD,60,종이·목재
039490,B,2024-05-02,132400.0,2024-07-01,125200.0,101,-779881.5999999996,-0.05825325045382098,MAX_HOLD,60,증권
002790,B,2024-05-31,38750.0,2024-07-02,31061.25,333,-2605706.0814375,-0.20170206037250712,STOP_LOSS,32,화학
007660,B,2024-07-01,56794.0,2024-07-17,50374.72,222,-1472570.0723279994,-0.11665984273031954,STOP_LOSS,16,전기·전자
005389,B,2024-05-21,155300.0,2024-07-22,164500.0,84,717034.9199999999,0.054902284137568896,MAX_HOLD,62,운송장비·부품
402340,B,2024-07-12,104700.0,2024-07-22,83500.0,117,-2523307.41,-0.20574934813503154,STOP_LOSS,10,기타금융
006660,B,2024-06-03,12200.0,2024-07-25,13710.0,1048,1525390.7240000013,0.11916832527838898,HARD_STOP,52,운송장비·부품
071970,B,2024-07-01,18600.0,2024-07-25,21650.0,678,2010095.414999999,0.15921166465016837,HARD_STOP,24,기계·장비
082640,B,2024-07-01,7760.0,2024-07-25,7770.0,1626,-35520.78299999982,-0.0028119080583102487,HARD_STOP,24,보험
079550,B,2024-07-01,218000.0,2024-07-25,230000.0,57,631035.5999999996,0.0507251523133717,HARD_STOP,24,금속
009540,B,2024-07-01,160000.0,2024-07-25,185000.0,78,1893079.5,0.15151482045647505,HARD_STOP,24,기타금융
000810,B,2024-07-01,383500.0,2024-07-25,359500.0,32,-816049.5999999996,-0.06642048736521447,HARD_STOP,24,보험
005850,B,2024-07-02,46000.0,2024-07-25,37450.0,273,-2378752.057499999,-0.18920366578434794,HARD_STOP,23,운송장비·부품
000660,B,2024-07-10,237500.0,2024-07-25,196200.0,52,-2191899.58,-0.17727787780894078,HARD_STOP,15,전기·전자
012450,B,2024-07-17,279111.0,2024-07-25,305087.0,44,1089220.6908,0.08859048956453607,HARD_STOP,8,운송장비·부품
