date,ticker,stage,reason
2024-03-04,071050,B,TOTAL_EXP (100.0%>95%)
2024-03-05,005385,B,TOTAL_EXP (100.0%>95%)
2024-03-05,005380,B,TOTAL_EXP (100.0%>95%)
2024-03-05,039490,B,TOTAL_EXP (100.0%>95%)
2024-03-05,082640,B,TOTAL_EXP (100.0%>95%)
2024-03-05,175330,B,TOTAL_EXP (100.0%>95%)
2024-03-05,000815,B,TOTAL_EXP (99.9%>95%)
2024-03-05,071050,B,TOTAL_EXP (100.0%>95%)
2024-03-06,039490,B,TOTAL_EXP (99.9%>95%)
2024-03-06,175330,B,TOTAL_EXP (100.0%>95%)
2024-03-06,000815,B,TOTAL_EXP (99.9%>95%)
2024-03-06,071050,B,TOTAL_EXP (100.0%>95%)
2024-03-07,000815,B,TOTAL_EXP (99.9%>95%)
2024-03-08,175330,B,TOTAL_EXP (100.0%>95%)
2024-03-08,000815,B,TOTAL_EXP (100.0%>95%)
2024-03-11,402340,B,TOTAL_EXP (100.0%>95%)
2024-03-11,000815,B,TOTAL_EXP (100.0%>95%)
2024-03-28,064350,B,TOTAL_EXP (98.5%>95%)
2024-03-29,064350,B,TOTAL_EXP (98.4%>95%)
2024-04-01,001040,B,TOTAL_EXP (99.2%>95%)
2024-04-01,100840,B,TOTAL_EXP (99.2%>95%)
2024-04-01,064350,B,TOTAL_EXP (99.2%>95%)
2024-04-01,000660,B,TOTAL_EXP (99.1%>95%)
2024-04-01,000400,B,TOTAL_EXP (99.2%>95%)
2024-04-02,000660,B,TOTAL_EXP (100.0%>95%)
2024-05-02,005180,B,TOTAL_EXP (95.4%>95%)
2024-05-02,073240,B,TOTAL_EXP (95.4%>95%)
2024-05-02,002240,B,SECTOR_EXP (33.2%>30%)
2024-05-02,002790,B,TOTAL_EXP (95.4%>95%)
2024-05-03,014830,B,TOTAL_EXP (100.2%>95%)
2024-05-08,014830,B,TOTAL_EXP (100.0%>95%)
2024-05-10,005180,B,TOTAL_EXP (95.3%>95%)
2024-05-13,002790,B,TOTAL_EXP (95.4%>95%)
2024-05-13,005180,B,TOTAL_EXP (95.4%>95%)
2024-05-13,010140,B,TOTAL_EXP (95.5%>95%)
2024-05-14,005180,B,TOTAL_EXP (95.3%>95%)
2024-05-14,010140,B,TOTAL_EXP (95.4%>95%)
2024-05-16,002790,B,TOTAL_EXP (95.4%>95%)
2024-05-17,005180,B,TOTAL_EXP (95.3%>95%)
2024-05-17,002790,B,TOTAL_EXP (95.3%>95%)
2024-05-20,005180,B,TOTAL_EXP (95.3%>95%)
2024-05-22,005380,B,TOTAL_EXP (95.8%>95%)
2024-05-22,002790,B,TOTAL_EXP (95.8%>95%)
2024-05-23,005387,B,TOTAL_EXP (95.6%>95%)
2024-05-23,005380,B,TOTAL_EXP (95.6%>95%)
2024-05-23,002790,B,TOTAL_EXP (95.7%>95%)
2024-06-03,161890,B,SECTOR_CAP (화학)
2024-06-03,03473K,B,TOTAL_EXP (95.1%>95%)
2024-06-04,161890,B,SECTOR_CAP (화학)
2024-06-11,014830,B,SECTOR_CAP (화학)
2024-06-13,161890,B,SECTOR_CAP (화학)
2024-06-14,042700,B,TOTAL_EXP (95.2%>95%)
2024-06-14,192820,B,SECTOR_CAP (화학)
2024-06-14,161890,B,SECTOR_CAP (화학)
2024-06-17,192820,B,SECTOR_CAP (화학)
2024-06-18,192820,B,SECTOR_CAP (화학)
2024-06-19,192820,B,SECTOR_CAP (화학)
2024-06-24,024720,B,TOTAL_EXP (95.4%>95%)
2024-06-25,024720,B,TOTAL_EXP (95.7%>95%)
2024-06-26,024720,B,TOTAL_EXP (95.8%>95%)
2024-07-09,012450,B,SECTOR_EXP (31.7%>30%)
2024-07-10,012450,B,SECTOR_EXP (31.4%>30%)
2024-07-11,012450,B,SECTOR_EXP (31.1%>30%)
2024-07-12,012450,B,SECTOR_EXP (30.6%>30%)
2024-07-12,329180,B,SECTOR_EXP (30.6%>30%)
2024-07-15,329180,B,SECTOR_EXP (30.5%>30%)
2024-07-16,012450,B,SECTOR_EXP (30.1%>30%)
2024-07-16,329180,B,SECTOR_EXP (30.1%>30%)
2024-07-17,329180,B,SECTOR_CAP (운송장비·부품)
2024-07-18,329180,B,SECTOR_CAP (운송장비·부품)
