date,equity,n_positions
2025-03-11,93397933.46296002,0
2025-03-12,94061876.11296,0
2025-03-13,94318371.08271001,0
2025-03-14,94317129.43271,0
2025-03-17,95869132.08271001,0
2025-03-18,95550299.73271,0
2025-03-19,95844665.78271,0
2025-03-20,95958905.18271,0
2025-03-21,96030939.88271,0
2025-03-24,95930173.38271001,0
2025-03-25,96054512.23271,0
2025-03-26,95131362.85278,0
2025-03-27,94940936.30278002,0
2025-03-28,94235159.37678,0
2025-03-31,93230534.11097,0
2025-04-01,93309935.11097,0
2025-04-02,93601081.61097,0
2025-04-03,92901080.51397,0
2025-04-04,92743238.01397,0
2025-04-07,89760369.135345,0
2025-04-08,89387583.22634499,0
2025-04-09,88843380.47634499,0
2025-04-10,89827124.47634499,0
2025-04-11,90085639.00663498,0
2025-04-14,90280764.63663499,0
2025-04-15,91220496.08663498,0
2025-04-16,91799698.736635,0
2025-04-17,91830868.23663498,0
2025-04-18,92918828.18663499,0
2025-04-21,93399663.086635,0
2025-04-22,93664762.48663498,0
2025-04-23,93803177.486635,0
2025-04-24,94185785.23663498,0
2025-04-25,94423206.38663499,0
2025-04-28,94313208.73663498,0
2025-04-29,95290385.38663499,0
2025-04-30,96593670.43663499,0
2025-05-02,96588251.63663499,0
2025-05-07,96459032.636635,0
2025-05-08,95770188.58663498,0
2025-05-09,96020435.686635,0
2025-05-12,95761691.22546999,0
2025-05-13,96232275.62546998,0
2025-05-14,96036849.22547,0
2025-05-15,95243295.758895,0
2025-05-16,95483972.55889499,0
2025-05-19,94173615.08189498,0
2025-05-20,94305433.281895,0
2025-05-21,95268680.08189498,0
2025-05-22,94508499.10214499,0
2025-05-23,95062649.302145,0
2025-05-26,96149500.60214499,0
2025-05-27,96233214.60214499,0
2025-05-28,97008536.202145,0
2025-05-29,100891967.10214499,0
2025-05-30,99852023.00214499,0
2025-06-02,98599434.702145,0
2025-06-04,102643850.702145,0
2025-06-05,103272007.80214499,0
2025-06-09,104884252.80214499,0
2025-06-10,105064671.10214499,0
2025-06-11,107133514.602145,0
2025-06-12,108354019.502145,0
2025-06-13,106974290.802145,0
2025-06-16,110417396.569145,0
2025-06-17,110034635.01747002,0
2025-06-18,110586442.51747,0
2025-06-19,109906481.91747,0
2025-06-20,110477602.91747,0
2025-06-23,111614027.11747,0
2025-06-24,115441104.01747,0
2025-06-25,117244660.01747,0
2025-06-26,115824981.91747,0
2025-06-27,114814010.91747,0
2025-06-30,115264466.52747,0
2025-07-01,117007866.62746999,0
2025-07-02,116501870.02747,0
2025-07-03,117198088.92747001,0
2025-07-04,114592554.13177001,0
2025-07-07,115694801.13177,0
2025-07-08,119867470.93177,0
2025-07-09,123375114.13177,0
2025-07-10,124209611.23177,0
2025-07-11,124681075.33177,0
2025-07-14,126732227.93177,0
2025-07-15,125751706.33177,0
2025-07-16,122118455.04966,0
2025-07-17,121710373.04966,0
2025-07-18,119694520.54966001,0
2025-07-21,119241375.70341,0
2025-07-22,119120735.20341,0
2025-07-23,117708047.800485,0
2025-07-24,116699507.52748501,0
2025-07-25,116414149.95935999,0
2025-07-28,113877839.95793499,0
2025-07-29,114502322.45793499,0
2025-07-30,114491178.95793499,0
2025-07-31,115099064.957935,0
2025-08-01,112817270.996935,0
2025-08-04,113889991.996935,0
2025-08-05,114351558.99693501,0
2025-08-06,114604087.996935,0
2025-08-07,115263796.496935,0
2025-08-08,115416043.496935,0
2025-08-11,115606271.49693501,0
2025-08-12,115205162.496935,0
2025-08-13,114868928.996935,0
2025-08-14,115535629.98666,0
2025-08-18,113521240.63866003,0
2025-08-19,112752956.63866003,0
2025-08-20,112476763.13866001,0
2025-08-21,112029888.77216001,0
2025-08-22,112271625.77216,0
2025-08-25,113642988.77216,0
2025-08-26,113375516.27216001,0
2025-08-27,113547988.77216,0
2025-08-28,115461478.77216,0
2025-08-29,115737121.27216001,0
2025-09-01,114895525.77216,0
2025-09-02,114186018.27216,0
2025-09-03,114450868.77216,0
2025-09-04,114517083.77216,0
2025-09-05,114617137.77216001,0
2025-09-08,115615046.27216,0
2025-09-09,118353088.77216,0
2025-09-10,120416973.27216,0
2025-09-11,120014201.77216,0
2025-09-12,120376360.77216001,0
2025-09-15,122781084.50943501,0
2025-09-16,121910751.509435,0
2025-09-17,122347295.509435,0
2025-09-18,122814040.00943501,0
2025-09-19,123210978.50943501,0
