code,entry_date,exit_date,entry_price,exit_price,qty,pnl,pnl_pct,hold_days,exit_reason,q_score
052020,20240104,20240110,10450.86,9554.852,426,-389636.6235563997,-0.08751815270704988,5,MA20,57.5
041510,20240103,20240112,90180.0,88023.6,50,-116402.30099999998,-0.02581554690618762,8,MA20,53.75
000100,20240104,20240112,66432.6,62874.0,67,-246640.6880999999,-0.055412618202508986,7,MA20,57.5
078150,20240104,20240112,2349.69,2335.32,1895,-35860.74122999888,-0.008053774753265073,7,MA20,53.75
066970,20240109,20240112,200901.0,186226.8,23,-345858.8719800003,-0.07484951423835627,4,MA20,57.5
141080,20240108,20240115,57314.4,54690.4,77,-210259.76355999988,-0.047643284759153,6,MA20,61.25
039030,20240104,20240116,147795.0,148602.2,30,15522.771300000139,0.0035009689772996693,9,MA20,53.75
004490,20240110,20240116,61422.6,58582.6,72,-212704.99704000074,-0.048096890558198616,5,MA20,61.25
293490,20240112,20240116,27354.6,25698.5,159,-271287.7199249994,-0.062373863079701275,3,MA20,57.5
059100,20240112,20240116,8016.0,6806.36,543,-664041.4342860002,-0.15255893238522958,3,MA20,40.0
196170,20231221,20240117,88276.2,87624.4,53,-43601.3817400001,-0.009319245504450825,17,MA20,51.25
112610,20240104,20240117,65330.4,60379.0,68,-344701.45539999986,-0.07759234674822131,10,MA20,57.5
054040,20240105,20240117,5761.5,5518.94,754,-191004.7374820006,-0.04396805224333955,9,MA20,53.75
035420,20240109,20240117,229959.0,218562.0,20,-236463.9179999996,-0.05141436473458303,7,MA20,61.25
001060,20240110,20240117,37575.0,33981.9,118,-431805.03518999973,-0.09738828223552888,6,MA20,57.5
009830,20240112,20240117,36823.5,34081.7,118,-331374.5991700003,-0.07626269406764709,4,MA20,40.0
001550,20231228,20240118,14028.0,13872.2,417,-76248.77942999918,-0.013034701311662249,14,MA20,57.5
011200,20240103,20240118,19959.84,19550.82,229,-102395.99867099989,-0.022402188544597527,12,MA20,61.25
000210,20240112,20240119,54408.6,50798.2,80,-296756.5192,-0.06817776031730277,6,MA20,55.0
035720,20240108,20240122,57314.4,56287.2,77,-87545.9230800001,-0.019837249277668462,11,MA20,61.25
145020,20240104,20240123,161221.8,155089.2,27,-173745.64637999935,-0.03991410553659602,14,MA20,55.0
009540,20240122,20240124,114829.2,111177.2,37,-143145.43497999944,-0.03369173990587747,3,MA20,34.5
053050,20240105,20240125,3602.19,3692.6,1207,100433.7820100002,0.02309967825128607,15,MA20,53.75
000660,20240122,20240125,142885.2,137125.2,30,-180821.82419999922,-0.04218347414567761,4,MA20,45.0
096530,20240122,20240125,24448.8,22854.2,176,-288493.1614399995,-0.06704483205719697,4,MA20,28.5
039440,20240122,20240126,29158.2,26946.0,147,-332917.47090000054,-0.07767093647756046,5,MA20,37.5
357780,20240122,20240126,305109.0,282933.0,14,-318188.07090000017,-0.07449049143093128,5,MA20,34.5
039030,20240122,20240129,196291.8,171715.5378285714,21,-523133.25687408075,-0.12690854875340857,6,SL,43.5
004560,20240108,20240130,17034.0,17954.02,259,229217.50219899975,0.05195548086180574,17,MA20,61.25
058470,20240122,20240130,46947.708,41133.84686971428,91,-536360.5639830311,-0.1255454713930158,7,SL,54.0
010140,20240122,20240130,7605.18,7155.66,566,-262326.0219419999,-0.06094182346768911,7,MA20,37.5
