ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,hold_days,exit_reason,source
007390,2024-10-29,2024-10-28,15900.0,15345.0,-0.04909681410454669,-463570.9649999988,-1,SAT2_TRAIL,SAT2
055550,2024-09-12,2024-10-31,53500.0,52712.0,-0.029216812215923538,-434219.6495999993,29,CORE_TRAIL,CORE
105560,2024-10-21,2024-10-31,94400.0,91432.0,-0.04568278225432976,-672775.2679999977,8,CORE_TRAIL,CORE
033130,2024-11-01,2024-10-31,2255.0,2160.0,-0.0562135476387956,-522207.4514999987,-1,SAT1_TRAIL,SAT1
082800,2024-11-01,2024-10-31,5901.0,5635.8,-0.05898511732710432,-548622.4802399997,-1,SAT2_TRAIL,SAT2
017860,2024-11-01,2024-10-31,28036.0,26569.8,-0.06623247011134725,-614888.9388600007,-1,SAT2_TRAIL,SAT2
009540,2024-10-21,2024-11-01,196400.0,177760.0,-0.10821719920314277,-1583008.5919999979,9,CORE_TRAIL,CORE
103140,2024-09-12,2024-11-04,55500.0,65120.0,0.15608014571949003,2319188.5640000002,31,CORE_TRAIL,CORE
101670,2024-11-06,2024-11-05,2700.0,2430.0,-0.11323397913561839,-1042244.2529999986,-1,SAT2_TRAIL,SAT2
094850,2024-11-06,2024-11-05,6340.0,7101.0,0.10356213006624149,952948.1514000002,-1,SAT2_TRAIL,SAT2
234920,2024-11-11,2024-11-08,6380.0,5742.0,-0.11323397913561839,-1043429.5409999987,-1,SAT2_TRAIL,SAT2
101670,2024-11-11,2024-11-08,3150.0,2839.5,-0.11182641402313531,-1030656.0649499994,-1,SAT2_TRAIL,SAT2
259960,2024-09-12,2024-11-12,329000.0,311520.0,-0.06705386416861825,-976981.1039999991,37,CORE_TRAIL,CORE
462350,2024-11-08,2024-11-12,14404.0,14102.1,-0.035355680302416315,-325996.70147999906,2,SAT1_TRAIL,SAT1
100790,2024-11-14,2024-11-13,6940.0,6471.0,-0.08128995821110896,-738165.0899999989,-1,SAT2_TRAIL,SAT2
119850,2024-11-14,2024-11-13,7490.0,7515.0,-0.01141571772795913,-103615.63799999926,-1,SAT2_TRAIL,SAT2
030520,2024-11-15,2024-11-14,22600.0,21375.0,-0.06811092940136887,-615077.0624999986,-1,SAT1_TRAIL,SAT1
214430,2024-11-01,2024-11-15,38000.0,37260.0,-0.03389175621617391,-313694.4360000004,10,SAT1_TRAIL,SAT1
001750,2024-10-21,2024-11-18,12460.0,12280.0,-0.028938225770054782,-428601.43399999867,20,CORE_REBAL,CORE
021240,2024-10-21,2024-11-18,66700.0,63800.0,-0.05754335946780709,-849879.8000000009,20,CORE_REBAL,CORE
027360,2024-11-19,2024-11-18,3085.0,3109.5,-0.006879545514930752,-62097.44444999906,-1,SAT2_TRAIL,SAT2
351870,2024-11-19,2024-11-18,10820.0,11070.0,0.008061188228456029,72777.08100000056,-1,SAT2_TRAIL,SAT2
214370,2024-11-22,2024-11-21,22700.0,21060.0,-0.08588877144376528,-781014.5039999993,-1,SAT1_TRAIL,SAT1
008830,2024-11-22,2024-11-21,11340.0,10206.0,-0.1132339791356185,-1031351.0003999998,-1,SAT1_TRAIL,SAT1
311690,2024-11-22,2024-11-21,15840.0,16920.0,0.05247482274307935,476864.2800000017,-1,SAT2_TRAIL,SAT2
138070,2024-11-22,2024-11-21,3230.0,3118.5,-0.0487169466578693,-443143.1828999997,-1,SAT2_TRAIL,SAT2
103140,2024-11-19,2024-11-26,58800.0,52536.0,-0.11966856250696989,-1678492.9655999986,5,CORE_TRAIL,CORE
020400,2024-11-27,2024-11-26,8420.0,8586.0,0.004720645967482229,42766.6277999998,-1,SAT2_TRAIL,SAT2
219420,2024-11-27,2024-11-26,6110.0,5499.0,-0.1132339791356185,-1025733.4191000004,-1,SAT2_TRAIL,SAT2
389650,2024-11-29,2024-11-28,45600.0,43515.0,-0.05975576515805148,-543029.750999999,-1,SAT1_TRAIL,SAT1
239340,2024-11-29,2024-11-28,2400.0,2331.0,-0.04303166915052148,-392920.7939999993,-1,SAT1_TRAIL,SAT1
294090,2024-12-02,2024-11-29,11400.0,10566.0,-0.08678657149580349,-784688.6663999988,-1,SAT2_TRAIL,SAT2
239340,2024-12-02,2024-11-29,2625.0,2641.5,-0.008511134766872486,-76995.31679999993,-1,SAT2_TRAIL,SAT2
009540,2024-11-19,2024-12-02,194000.0,192720.0,-0.02120534054419465,-298121.47200000007,9,CORE_TRAIL,CORE
376930,2024-12-05,2024-12-04,3300.0,3270.6,-0.023482509145102193,-211369.10579999915,-1,SAT2_TRAIL,SAT2
377300,2024-12-05,2024-12-04,31650.0,29880.0,-0.06980625931445605,-627091.5779999999,-1,SAT2_TRAIL,SAT2
175330,2024-10-21,2024-12-05,17010.0,18040.0,0.04495780367061486,665793.0950000011,33,CORE_TRAIL,CORE
105560,2024-11-19,2024-12-05,91500.0,89672.0,-0.03438879632118008,-481388.1952000002,12,CORE_TRAIL,CORE
055550,2024-11-19,2024-12-05,53300.0,50072.0,-0.07437673135873857,-1045392.4711999994,12,CORE_TRAIL,CORE
224110,2024-12-06,2024-12-05,17500.0,17730.0,-0.0017548222269533342,-15485.408999999825,-1,SAT1_TRAIL,SAT1
089860,2024-12-06,2024-12-06,34100.0,32220.0,-0.06902570243563466,-608852.5320000002,0,SAT1_TRAIL,SAT1
086790,2024-11-19,2024-12-09,59700.0,58256.0,-0.038536361223238114,-541844.5031999988,14,CORE_TRAIL,CORE
045340,2024-12-10,2024-12-09,12100.0,10890.0,-0.1132339791356185,-988769.5290000002,-1,SAT2_TRAIL,SAT2
065770,2024-12-10,2024-12-09,2280.0,2052.0,-0.11323397913561839,-989774.744399999,-1,SAT2_TRAIL,SAT2
049430,2024-12-13,2024-12-12,12060.0,12240.0,1.4828984733483708e-06,13.06800000002113,-1,SAT1_TRAIL,SAT1
065500,2024-12-13,2024-12-12,6260.0,5634.0,-0.11323397913561839,-999546.5321999996,-1,SAT2_TRAIL,SAT2
004770,2024-12-13,2024-12-12,2785.0,2911.5,0.030049578993276205,265246.7254500002,-1,SAT2_TRAIL,SAT2
259960,2024-11-19,2024-12-17,297000.0,342000.0,0.1345827876379293,1890852.3000000012,20,CORE_REBAL,CORE
006280,2024-11-19,2024-12-17,130900.0,170300.0,0.28186277356085365,3936379.9600000004,20,CORE_REBAL,CORE
199480,2024-12-18,2024-12-17,8580.0,8478.0,-0.026417725344699994,-232472.0105999996,-1,SAT2_TRAIL,SAT2
097870,2024-12-18,2024-12-17,9400.0,8748.0,-0.08304619970193738,-730708.8119999996,-1,SAT2_TRAIL,SAT2
050890,2024-12-20,2024-12-19,5780.0,5427.0,-0.07487904743733209,-659519.7473999996,-1,SAT1_TRAIL,SAT1
086980,2024-12-18,2024-12-20,4360.0,4122.8,-0.06830811650874813,-937347.1434799996,2,CORE_TRAIL,CORE
062970,2024-12-23,2024-12-20,2833.0,2804.4,-0.024651280969497646,-215512.26731999897,-1,SAT2_TRAIL,SAT2
402490,2024-12-23,2024-12-20,9439.0,9252.0,-0.03422452648735652,-299133.49199999974,-1,SAT2_TRAIL,SAT2
062970,2024-12-27,2024-12-26,3548.0,3193.2000000000003,-0.11323397913561839,-997165.4709599994,-1,SAT2_TRAIL,SAT2
103840,2024-12-27,2024-12-26,3735.0,4027.5,0.06245728068757894,550122.9277500008,-1,SAT2_TRAIL,SAT2
424960,2024-12-30,2024-12-27,14110.0,13428.0,-0.06232820472738687,-546148.2858000002,-1,SAT1_TRAIL,SAT1
437730,2025-01-03,2025-01-02,9940.0,9819.0,-0.026698462009013713,-232383.69899999883,-1,SAT2_TRAIL,SAT2
032830,2024-12-18,2025-01-06,99600.0,90992.0,-0.0998592841310596,-1361446.1695999983,10,CORE_TRAIL,CORE
042660,2025-01-08,2025-01-07,43250.0,38925.0,-0.1132339791356185,-990769.7024999999,-1,SAT1_TRAIL,SAT1
208710,2025-01-08,2025-01-07,5190.0,4671.0,-0.11323397913561839,-994910.2325999993,-1,SAT2_TRAIL,SAT2
005690,2024-12-13,2025-01-08,7120.0,8190.0,0.1333666839699259,1176519.6330000004,15,SAT1_TRAIL,SAT1
077500,2025-01-03,2025-01-09,7570.0,7893.0,0.027336592203517363,237859.30020000064,4,SAT2_TRAIL,SAT2
187660,2025-01-13,2025-01-10,2895.0,2970.0,0.010821370933492114,94846.75200000152,-1,SAT2_TRAIL,SAT2
126730,2025-01-13,2025-01-10,12940.0,13392.0,0.019712394935239352,172783.59720000107,-1,SAT2_TRAIL,SAT2
363260,2025-01-15,2025-01-14,2535.0,2281.5,-0.1132339791356185,-994152.9019500004,-1,SAT1_TRAIL,SAT1
036220,2025-01-15,2025-01-14,17130.0,16893.0,-0.02833635658934941,-248675.46209999794,-1,SAT1_TRAIL,SAT1
366030,2025-01-16,2025-01-15,4965.0,4468.5,-0.11323397913561839,-998744.7532499991,-1,SAT2_TRAIL,SAT2
